URL,Stance
http://twitter.com/_funkyboy/status/696013355715272704,NEUTRAL
http://twitter.com/39cbf1da7cbc4e5/status/710228905689415680,NEUTRAL
http://twitter.com/_cypherpunks_/status/705078470641098753,FOR
http://twitter.com/_KingComplex/status/705503412171968513,NEUTRAL
http://twitter.com/_Harish_vK/status/694508487653597184,NEUTRAL
http://twitter.com/johnschult/status/715527033175019520,NEUTRAL
http://twitter.com/_Dividido/status/712282988688580608,NEUTRAL
http://twitter.com/NedLobb/status/682931648183287808,FOR
http://twitter.com/netik/status/690342116992528384,FOR
http://twitter.com/_eefj/status/706166442702598144,NEUTRAL
http://twitter.com/_cwick/status/706169469861756929,NEUTRAL
http://twitter.com/_benjaminbatz/status/705714322429878272,NEUTRAL
http://twitter.com/3BlockM/status/705800151508631553,NEUTRAL
http://twitter.com/RichWielgosz/status/697830156501528577,FOR
http://twitter.com/_cypherpunks_/status/705782224730374144,FOR
http://twitter.com/_cwick/status/687326145914732544,NEUTRAL
http://twitter.com/_eefj/status/710070168936964101,NEUTRAL
http://twitter.com/_eefj/status/710070168936964101,NEUTRAL
http://twitter.com/_GhaziAryan_/status/710578503041699840,NEUTRAL
http://twitter.com/_dp_singh/status/710564792222797824,NEUTRAL
http://twitter.com/_dp_singh/status/710564792222797824,NEUTRAL
http://twitter.com/_Godswill/status/710573779970174977,NEUTRAL
http://twitter.com/RichyRich/status/710632448153923584,NEUTRAL
http://twitter.com/_dml/status/710581103065743360,NEUTRAL
http://twitter.com/_dml/status/710581103065743360,NEUTRAL
http://twitter.com/johnschenk/status/710585158122909696,NEUTRAL
http://twitter.com/_faizbc/status/714737315621572608,NEUTRAL
http://twitter.com/__MattMatt/status/710122996971606016,NEUTRAL
http://twitter.com/_fikarahman/status/710128333493653506,NEUTRAL
http://twitter.com/_fikarahman/status/710128333493653506,NEUTRAL
http://twitter.com/Stefx00/status/704421172205723649,FOR
http://twitter.com/_HeavyP/status/699775374469787648,NEUTRAL
http://twitter.com/_Gen2_/status/687208824269352960,NEUTRAL
